1,ATL,LAX,2024-05-10,08:00,2024-05-10,10:30,Boeing 737
2,LAX,ORD,2024-05-10,09:15,2024-05-10,13:30,Boeing 747
3,ORD,DFW,2024-05-10,11:30,2024-05-10,13:45,Airbus A320
4,DFW,DEN,2024-05-10,14:00,2024-05-10,15:30,Boeing 737
5,DEN,JFK,2024-05-10,16:45,2024-05-10,21:00,Boeing 777
6,JFK,SFO,2024-05-11,08:30,2024-05-11,11:45,Boeing 787
7,SFO,SEA,2024-05-11,12:15,2024-05-11,13:45,Airbus A320
8,SEA,MIA,2024-05-11,14:30,2024-05-11,21:00,Boeing 737
9,MIA,LAX,2024-05-12,09:00,2024-05-12,11:30,Boeing 747
10,LAX,ATL,2024-05-12,12:15,2024-05-12,16:30,Boeing 757
11,ATL,LAX,2024-05-13,08:00,2024-05-13,10:30,Boeing 737
12,LAX,ORD,2024-05-13,09:15,2024-05-13,13:30,Boeing 747
13,ORD,DFW,2024-05-13,11:30,2024-05-13,13:45,Airbus A320
14,DFW,DEN,2024-05-13,14:00,2024-05-13,15:30,Boeing 737
15,DEN,JFK,2024-05-13,16:45,2024-05-13,21:00,Boeing 777
16,JFK,SFO,2024-05-14,08:30,2024-05-14,11:45,Boeing 787
17,SFO,SEA,2024-05-14,12:15,2024-05-14,13:45,Airbus A320
18,SEA,MIA,2024-05-14,14:30,2024-05-14,21:00,Boeing 737
19,MIA,LAX,2024-05-15,09:00,2024-05-15,11:30,Boeing 747
20,LAX,ATL,2024-05-15,12:15,2024-05-15,16:30,Boeing 757
21,ATL,LAX,2024-05-16,08:00,2024-05-16,10:30,Boeing 737
22,LAX,ORD,2024-05-16,09:15,2024-05-16,13:30,Boeing 747
23,ORD,DFW,2024-05-16,11:30,2024-05-16,13:45,Airbus A320
24,DFW,DEN,2024-05-16,14:00,2024-05-16,15:30,Boeing 737
25,DEN,JFK,2024-05-16,16:45,2024-05-16,21:00,Boeing 777
26,JFK,SFO,2024-05-17,08:30,2024-05-17,11:45,Boeing 787
27,SFO,SEA,2024-05-17,12:15,2024-05-17,13:45,Airbus A320
28,SEA,MIA,2024-05-17,14:30,2024-05-17,21:00,Boeing 737
29,MIA,LAX,2024-05-18,09:00,2024-05-18,11:30,Boeing 747
30,LAX,ATL,2024-05-18,12:15,2024-05-18,16:30,Boeing 757
31,ATL,LAX,2024-05-19,08:00,2024-05-19,10:30,Boeing 737
32,LAX,ORD,2024-05-19,09:15,2024-05-19,13:30,Boeing 747
33,ORD,DFW,2024-05-19,11:30,2024-05-19,13:45,Airbus A320
34,DFW,DEN,2024-05-19,14:00,2024-05-19,15:30,Boeing 737
35,DEN,JFK,2024-05-19,16:45,2024-05-19,21:00,Boeing 777
36,JFK,SFO,2024-05-20,08:30,2024-05-20,11:45,Boeing 787
37,SFO,SEA,2024-05-20,12:15,2024-05-20,13:45,Airbus A320
38,SEA,MIA,2024-05-20,14:30,2024-05-20,21:00,Boeing 737
39,MIA,LAX,2024-05-21,09:00,2024-05-21,11:30,Boeing 747
40,LAX,ATL,2024-05-21,12:15,2024-05-21,16:30,Boeing 757
41,ATL,LAX,2024-05-22,08:00,2024-05-22,10:30,Boeing 737
42,LAX,ORD,2024-05-22,09:15,2024-05-22,13:30,Boeing 747
43,ORD,DFW,2024-05-22,11:30,2024-05-22,13:45,Airbus A320
44,DFW,DEN,2024-05-22,14:00,2024-05-22,15:30,Boeing 737
45,DEN,JFK,2024-05-22,16:45,2024-05-22,21:00,Boeing 777
46,JFK,SFO,2024-05-23,08:30,2024-05-23,11:45,Boeing 787
47,SFO,SEA,2024-05-23,12:15,2024-05-23,13:45,Airbus A320
48,SEA,MIA,2024-05-23,14:30,2024-05-23,21:00,Boeing 737
49,MIA,LAX,2024-05-24,09:00,2024-05-24,11:30,Boeing 747
50,LAX,ATL,2024-05-24,12:15,2024-05-24,16:30,Boeing 757
51,ATL,LAX,2024-05-25,08:00,2024-05-25,10:30,Boeing 737
52,LAX,ORD,2024-05-25,09:15,2024-05-25,13:30,Boeing 747
53,ORD,DFW,2024-05-25,11:30,2024-05-25,13:45,Airbus A320
54,DFW,DEN,2024-05-25,14:00,2024-05-25,15:30,Boeing 737
55,DEN,JFK,2024-05-25,16:45,2024-05-25,21:00,Boeing 777
