ABE, Lehigh Valley International Airport, Allentown, Pennsylvania
ABI, Abilene Regional Airport, Abilene, Texas
ABQ, Albuquerque International Sunport, Albuquerque, New Mexico
ABR, Aberdeen Regional Airport, Aberdeen, South Dakota
ABY, Southwest Georgia Regional Airport, Albany, Georgia
ACK, Nantucket Memorial Airport, Nantucket, Massachusetts
ACT, Waco Regional Airport, Waco, Texas
ACV, California Redwood Coast-Humboldt County Airport, Arcata/Eureka, California
ACY, Atlantic City International Airport, Atlantic City, New Jersey
ADK, Adak Airport, Adak Island, Alaska
ADQ, Kodiak Airport, Kodiak, Alaska
AEX, Alexandria International Airport, Alexandria, Louisiana
AGS, Augusta Regional Airport, Augusta, Georgia
AKN, King Salmon Airport, King Salmon, Alaska
ALB, Albany International Airport, Albany, New York
ALO, Waterloo Regional Airport, Waterloo, Iowa
AMA, Rick Husband Amarillo International Airport, Amarillo, Texas
ANC, Ted Stevens Anchorage International Airport, Anchorage, Alaska
APN, Alpena County Regional Airport, Alpena, Michigan
ART, Watertown International Airport, Watertown, New York
ASE, Aspen/Pitkin County Airport, Aspen, Colorado
ATW, Appleton International Airport, Appleton, Wisconsin
ATY, Watertown Regional Airport, Watertown, South Dakota
AUS, Austin-Bergstrom International Airport, Austin, Texas
AVL, Asheville Regional Airport, Asheville, North Carolina
AVP, Wilkes-Barre/Scranton International Airport, Scranton/Wilkes-Barre, Pennsylvania
AZA, Phoenix-Mesa Gateway Airport, Mesa, Arizona
AZO, Kalamazoo/Battle Creek International Airport, Kalamazoo/Battle Creek, Michigan
BDL, Bradley International Airport, Hartford, Connecticut
BET, Bethel Airport, Bethel, Alaska
BFF, Western Nebraska Regional Airport, Scottsbluff, Nebraska
BFL, Meadows Field Airport, Bakersfield, California
BGM, Greater Binghamton Airport, Binghamton, New York
BGR, Bangor International Airport, Bangor, Maine
BHM, Birmingham-Shuttlesworth International Airport, Birmingham, Alabama
BIL, Billings Logan International Airport, Billings, Montana
BIS, Bismarck Municipal Airport, Bismarck, North Dakota
BJI, Bemidji Regional Airport, Bemidji, Minnesota
BLI, Bellingham International Airport, Bellingham, Washington
BMI, Central Illinois Regional Airport, Bloomington/Normal, Illinois
BNA, Nashville International Airport, Nashville, Tennessee
BOI, Boise Air Terminal/Gowen Field, Boise, Idaho
BOS, Logan International Airport, Boston, Massachusetts
BPT, Jack Brooks Regional Airport, Beaumont/Port Arthur, Texas
BQK, Brunswick Golden Isles Airport, Brunswick, Georgia
BQN, Rafael Hernández International Airport, Aguadilla, Puerto Rico
BRO, Brownsville/South Padre Island International Airport, Brownsville, Texas
BRW, Wiley Post-Will Rogers Memorial Airport, Barrow, Alaska
BTM, Bert Mooney Airport, Butte, Montana
BTR, Baton Rouge Metropolitan Airport, Baton Rouge, Louisiana
BTV, Burlington International Airport, Burlington, Vermont
BUF, Buffalo Niagara International Airport, Buffalo, New York
BUR, Hollywood Burbank Airport, Burbank, California
BWI, Baltimore/Washington International Thurgood Marshall Airport, Baltimore, Maryland
BZN, Bozeman Yellowstone International Airport, Bozeman, Montana
CAE, Columbia Metropolitan Airport, Columbia, South Carolina
CAK, Akron-Canton Airport, Akron/Canton, Ohio
CDC, Cedar City Regional Airport, Cedar City, Utah
CDV, Merle K. (Mudhole) Smith Airport, Cordova, Alaska
CEC, Jack McNamara Field Airport, Crescent City, California
CGI, Cape Girardeau Regional Airport, Cape Girardeau, Missouri
CHA, Chattanooga Metropolitan Airport, Chattanooga, Tennessee
CHO, Charlottesville-Albemarle Airport, Charlottesville, Virginia
CHS, Charleston International Airport, Charleston, South Carolina
CID, The Eastern Iowa Airport, Cedar Rapids/Iowa City, Iowa
CIU, Chippewa County International Airport, Sault Ste. Marie, Michigan
CLD, McClellan-Palomar Airport, Carlsbad, California
CLE, Cleveland Hopkins International Airport, Cleveland, Ohio
CLL, Easterwood Airport, College Station, Texas
CLT, Charlotte Douglas International Airport, Charlotte, North Carolina
CMH, John Glenn Columbus International Airport, Columbus, Ohio
CMI, University of Illinois Willard Airport, Champaign/Urbana, Illinois
CMX, Houghton County Memorial Airport, Hancock, Michigan
COD, Yellowstone Regional Airport, Cody, Wyoming
COS, Colorado Springs Airport, Colorado Springs, Colorado
COU, Columbia Regional Airport, Columbia, Missouri
CRP, Corpus Christi International Airport, Corpus Christi, Texas
CRW, Yeager Airport, Charleston, West Virginia
CSG, Columbus Metropolitan Airport, Columbus, Georgia
CVG, Cincinnati/Northern Kentucky International Airport, Cincinnati, Ohio
CWA, Central Wisconsin Airport, Wausau/Stevens Point, Wisconsin
DAB, Daytona Beach International Airport, Daytona Beach, Florida
DAL, Dallas Love Field, Dallas, Texas
DAY, James M. Cox Dayton International Airport, Dayton, Ohio
DBQ, Dubuque Regional Airport, Dubuque, Iowa
DCA, Ronald Reagan Washington National Airport, Washington, D.C., Virginia
DEN, Denver International Airport, Denver, Colorado
DFW, Dallas/Fort Worth International Airport, Dallas/Fort Worth, Texas
DHN, Dothan Regional Airport, Dothan, Alabama
DIK, Dickinson Theodore Roosevelt Regional Airport, Dickinson, North Dakota
DLG, Dillingham Airport, Dillingham, Alaska
DLH, Duluth International Airport, Duluth, Minnesota
DRO, Durango-La Plata County Airport, Durango, Colorado
DSM, Des Moines International Airport, Des Moines, Iowa
DTW, Detroit Metropolitan Wayne County Airport, Detroit, Michigan
DUJ, DuBois Regional Airport, DuBois, Pennsylvania
DVL, Devils Lake Regional Airport, Devils Lake, North Dakota
EAU, Chippewa Valley Regional Airport, Eau Claire, Wisconsin
EGE, Eagle County Regional Airport, Vail, Colorado
EKO, Elko Regional Airport, Elko, Nevada
ELM, Elmira/Corning Regional Airport, Elmira/Corning, New York
ELP, El Paso International Airport, El Paso, Texas
ERI, Erie International Airport/Tom Ridge Field, Erie, Pennsylvania
ESC, Delta County Airport, Escanaba, Michigan
EUG, Eugene Airport, Eugene, Oregon
EVV, Evansville Regional Airport, Evansville, Indiana
EWN, Coastal Carolina Regional Airport, New Bern, North Carolina
EWR, Newark Liberty International Airport, Newark, New Jersey
EYW, Key West International Airport, Key West, Florida
FAI, Fairbanks International Airport, Fairbanks, Alaska
FAR, Hector International Airport, Fargo, North Dakota
FAT, Fresno Yosemite International Airport, Fresno, California
FAY, Fayetteville Regional Airport, Fayetteville, North Carolina
FCA, Glacier Park International Airport, Kalispell, Montana
FLG, Flagstaff Pulliam Airport, Flagstaff, Arizona
FLL, Fort Lauderdale-Hollywood International Airport, Fort Lauderdale, Florida
FLO, Florence Regional Airport, Florence, South Carolina
FMN, Four Corners Regional Airport, Farmington, New Mexico
FNT, Bishop International Airport, Flint, Michigan
FSD, Sioux Falls Regional Airport, Sioux Falls, South Dakota
FSM, Fort Smith Regional Airport, Fort Smith, Arkansas
FWA, Fort Wayne International Airport, Fort Wayne, Indiana
GEG, Spokane International Airport, Spokane, Washington
GFK, Grand Forks International Airport, Grand Forks, North Dakota
GGG, East Texas Regional Airport, Longview, Texas
GJT, Grand Junction Regional Airport, Grand Junction, Colorado
GNV, Gainesville Regional Airport, Gainesville, Florida
GPT, Gulfport-Biloxi International Airport, Gulfport/Biloxi, Mississippi
GRB, Green Bay-Austin Straubel International Airport, Green Bay, Wisconsin
GRI, Central Nebraska Regional Airport, Grand Island, Nebraska
GRK, Killeen-Fort Hood Regional Airport, Killeen, Texas
GRR, Gerald R. Ford International Airport, Grand Rapids, Michigan
GSO, Piedmont Triad International Airport, Greensboro/High Point, North Carolina
GSP, Greenville-Spartanburg International Airport, Greenville/Spartanburg, South Carolina
GST, Gustavus Airport, Gustavus, Alaska
GTF, Great Falls International Airport, Great Falls, Montana
GTR, Golden Triangle Regional Airport, Columbus, Mississippi
GUC, Gunnison-Crested Butte Regional Airport, Gunnison, Colorado
GUM, Antonio B. Won Pat International Airport, Hagåtña, Guam
HDN, Yampa Valley Airport, Hayden/Steamboat Springs, Colorado
HIB, Range Regional Airport, Hibbing, Minnesota
HLN, Helena Regional Airport, Helena, Montana
HNL, Daniel K. Inouye International Airport, Honolulu, Hawaii
HOB, Lea County Regional Airport, Hobbs, New Mexico
HOU, William P. Hobby Airport, Houston, Texas
HPN, Westchester County Airport, White Plains, New York
HRL, Valley International Airport, Harlingen, Texas
HSV, Huntsville International Airport, Huntsville, Alabama
HTS, Tri-State Airport, Huntington, West Virginia
HVN, Tweed New Haven Airport, New Haven, Connecticut
HYA, Barnstable Municipal Airport, Hyannis, Massachusetts
HYS, Hays Regional Airport, Hays, Kansas
